Gloss,Proto-Seediq,Tgdaya,Proto-Toda-Truku,Central Toda,Proto-Truku,Central Truku,Eastern Truku 
`seeds',*gəhak,rehak,*gəhak,rəhak,*gəhak,gəhak,gəhak
`seven',*məpitu,mupitu,*məpitu,məpitu,*əmpitu,əmpitu,əmpitu
`shelf',*paga,paga,*paga,pawa `bed',*paga,paga,paga
`shoes',*ramil,,*ramil,ramil,*ramil,ramil,ramil
`shoulder',*ahiŋ,ahiŋ,,,,,
`shoulder',*hiraŋ,,*hiraŋ,hiraŋ,*hiraŋ,hiraŋ,hiraŋ
`shrimp',*bawluŋ,boluŋ,*bawluŋ,bowluŋ,*-bawluŋ,qəbowluŋ,kəbowluŋ
`shy; bashful; embarrased',*məsiqa,musiqa,*məsiqa,məsiqa,*siqa,siqa,məsiqa
`sinew; tendon',*urat,urac,*urat,,*urat,,urat
`six',*mətəru,mumuteru,*mətəru,məturu,*mataru,mataru,mataru
`skin',*qəraqil,quraqin,*qəraqil,qəraqin,*qəraqil,qəraqil,qəraqil
`sky; weather',*karat,karac,*karat,karac,*karat,karac,karat
`slippery',*dəhəriq,deheriq,*dəhəriq,dəhəriq,*dəhəriq,dəhəriq,dəhəriq
`small knife',*yayu,yayu,*yayu,yayu,*yayu,yayu,yayu
`small',*biciq,biciq,,,,,bilaq
`smoke',*qərəŋul,qureŋun,*qərəŋul,qərəŋul,*qərəŋul,qərəŋul,qərəŋul
`snake',*quyu,quyu,*quyu,quyu,*quyu,quyu,quyu
`snow; ice',*huda,huda,*huda,huda,*huda,huda,huda
`soft',*məhənuk,mehenuk,*məhənuk,məhənuk,*məhənuk,məhənuk,məhənuk
`sole',*dapil,dapin,*dapil,dapil,*dapil,dapil,dapil
`song',*uyas,uyas,*uyas,uyas,*uyas,uyas,uyas
`sound',*hərənaŋ,hurenaŋ,*hərənaŋ,hənaŋ,*hərənaŋ,hərənaŋ,hənaŋ
`soup',*bəgu,begu,*bəgu,bu,*bəgu,bəgu,bəgu
`spear',*sənəbəraŋan,sunuburaŋan,*sənəbəraŋan,sənəbəraŋan,*sənəbəraŋan,sənəbəraŋan,səməbəraŋan
`speech; language',*kari,kari,*kari,kari,*kari,kari,kari
`spicy',*məŋihur,muŋihun,*məŋihur,məŋihur,*mənihur,mənihur,mənihur
`squirrel',*bərihut,burihuc,*bərihut,bərihuc,*bərihut,bərihuc,bərihut
`stomach',*ləhəbun,lehebun,*ləhəbun,ləhəbun,*rəkətu,rəkətu,rəkətu
`stone',*bətunux,butunux,*bətunux,bətunux,*bətunux,bətunux,bətunux
`stream; creek',*ayug,ayu `valley',*ayug,ayu,*ayug,ayug,ayug
`strong',*məbəyax,mubeyax,*məbiyax,məbiyax,*əmbiyax,əmbiyax,əmbiyax
`sucking pig',*bəru,beru,*bəru,bəru,*bəru,bəru,bəru
`sugarcane',*sibus,sibus,*sibus,sibus,*sibus,sibus,sibus
`summer',*rəbagan,rubagan,*rəbagan,rəbawan,*rəbagan,rəbagan,rəbagan
`sun',*hidaw,hido,*hidaw,hidaw,*hidaw,hidaw,hidaw
`sweat',*məriŋ,meriŋ,*məriŋ,məriŋ,*məriŋ,məriŋ,məriŋ
`sweet potato',*buŋa,buŋa,*buŋa,buŋa,*buŋa,buŋa,buŋa
`sweet',*məsibus,musibus,*məsibus,məsibus,*məsibus,məsibus,məsibus
`taboo',*bəsaniq,busaniq,*bəsaniq,bəsaniq,*pəsaniq,pəsaniq,pəsaniq
`tail',*ŋuŋu,ŋuŋu,*ŋuŋu,ŋuŋu,*ŋuŋu,ŋuŋu,ŋuŋu
`Taiwanese lily',*bawxi,boxi,*bawxi,bowxi,*bawxi,bowxi,bowxi
`taro',*sari,sari,*sari,sari,*sari,sari,sari
`teeth',*gupun,rupun,*gupun,rupun,*gupun,gupun,gupun
`ten',*maxal,maxan,*maxal,maxal,*maxal,maxal,maxal
`testicles',*bəgax,begax,*bəgax,,*bəgax,bəgax,
`testicles',,,*baluŋ,baluŋ,*baluŋ,baluŋ,baluŋ
`that (invisible?)',,,*gayi,way,*gayi,,gayi `far'
`that',*gaga,gaga,*gaga,wawa,*gaga,gaga,gaga
`the day after tomorrow',*məkaxa,mukaxa,*məkaxa,məkaxa,*məkaxa,məkaxa,məkaxa
`the day before yesterday',*cənəkaxa,cunukaxa,*cənəkaxa,cənəkaxa,*sənəkaxa,sənəkaxa,sənəkaxa
`thick',*məkənədux,mukunedux,*məkənədux,kənədux,*məkənədux,kənədux,məkənədux
`thin; skinny',,,*məliwaŋ,məliwaŋ,*məliwaŋ,məliwaŋ,liwaŋ
`thin',*rəqəliŋ,ruqeliŋ,*rəqəliŋ,rəqəliŋ,*rəqəliŋ,ləqəliŋ,rəqəliŋ
`thing; instrument',*qəya,quyuqeya,*qiya,qəqiya,*qaya,qaya,qaya
`thirsty',*məhuaw,(muhuqeni),*məhuaw,məhuaw,*məhuaw,məhuaw,məhuaw
`thirty',*mətərul,muterun,*mətərul,məturul,*mətərul,mətərul,mətərul
`this',*nii,nii,*nii,nii,*nii,nii,nii
`three',*təru,teru,*təru,turu,*təru,təru,təru
`throat',*gəlu,gelu,*gəlu,wəlu,*gəlu,gəlu,gəlu
`tired',*məuwit,muuwic,*məuwit,mowic,*məuwit,məuwic,məuwit
`to add',*mumal,muman,*mumal,muman,*mumal,umal,mumal
`to answer; to respond (AV)',*cumiyuk,cumiyuk,*cumiyuk,cəmiyuk,*səmiyuk,səmiyuk,səmiyuk
`to answer; to respond (PV)',*cəyukun,cuyukun,*cəyukun,cəyukun,*səyukun,səyukun,
`to arrive (AV)',*dəhuk,dehuk,*dəhuq,dəhuq,*dəhuq,dəhuq,dəhuq
`to arrive (PV)',*dəhəkun,dehekan,*dəhəqun,dəhəqun,*dəhəqun,dəhəqun,dəhəqun
`to ask (AV)',*səmiliŋ,sumiliŋ,*səmiliŋ,səmiliŋ,*səmiliŋ,səmiliŋ,səmiliŋ
`to ask (PV)',*səliŋun,suliŋun,*səliŋun,,*səliŋun,,səliŋun
`to assemble (AV)',*səməli,sumeli,*səməli,pəsəsəli,*səməli,səməli,səməli
`to assemble (PV)',*səliun,suliun,*səliun,səliun,*səliun,səliun,səliun
`to be facing s.t.; about s.t.',*quri,quri,*quri,quri,*quri,quri,quri
`to be in disarray; to be knotted (of string) (PV)',*rəduun,ruduun,,rəduun,*rəduun,rəduun,
`to be in disarray; to be knotted (of string)',*rudu,pururudu,*rudu,,*rudu,,rəmudu
`to be in pain; to fall ill (AV)',*mənarux,munarux,*mənarux,mənarux,*mənarux,mənarux,mənarux
`to be standing (AV)',*məhəyug,meheyu,*məhiyug,məhiyu,*məhiyug,hiyug,məhiyug
`to be startled (AV)',*səkəlui,sukului,*səkəlui,səkəlui,*səkəlui,səkəlui,səkəlui
`to begin (AV)',*pəradiŋ,puradiŋ,*pəradiŋ,pəradiŋ,*pəraɟiŋ,pəraɟiŋ,pəraɟiŋ
`to begin (PV)',*pərədiŋun,purudiŋun,*pərədiŋun,pərədiŋun,*pərəɟiŋun,pərəɟiŋun,
`to bite (AV)',*qəmiyut,qumiyuc,*qəmiyut,qəmiyuc,*qəmiyut,,qəmiyut
`to bite (PV)',*qəyutun,quyutun,*qəyutun,qəyutun,*qiyutun,qiyutun,qiyutun
`to blow (AV)',*miyuk,miyuk,*miyuk,miyuk,*miyuk,miyuk,miyuk
`to blow (PV)',*yupun,yupun,*yupun,yupun,*yupun,yupun,yupun
"`to burn (intr, AV)'",*səlamaq,sulamaq,*səlamaq,,*səlamaq,səlamaq,səlamaq
"`to burn (intr, AV)'",*səqama,suqama,*səqama,səqama,*səqama,səqama,səqama
"`to burn (tr, PV)'",*sələmaqun,sulumaqun,*sələmaqun,,*sələmaqun,sələmaqun,
"`to burn (tr, PV)'",*səqəmaun,suqumaun,*səqəmaun,səqəmaun,*səqəmaun,səqəmaun,səqəmaan
`to buy (AV)',*marig,maruy,*marig,mari,*marig,marig,marig
`to buy (PV)',*bərigun,burigun,*bərigun,bəriwun,*bərigun,bərigun,bərigun
`to call (AV)',*ləmawa,lumawa,*ləmawa,məlawa,*ləmawa,ləmawa,məlawa
`to call (PV)',*ləwanun,luwanun,*ləwanun,,*ləwanun,ləwanun,
`to carry on one's back (AV)',*mapa,mapa,*mapa,mapa,*mapa,mapa,mapa
`to carry on one's back (LV)',*paan,paanun,*paan,paanun,*paanun,paanun,paan
`to chew (AV)',*məsəkan,musekan,*məsəkan,məsəkan,*məsəkan,məsəkan,məsəkan
`to chew (PV)',*pəsəkanun,pusukanun,*pəsəkanun,pəsəkani,*pəsəkani,pəsəkani,pəsəkanun
`to choose (AV)',*gəmaaw,gumao,*gəmaaw,umau,*gəmaaw,gaaw,gəmaaw
`to choose (PV)',*gəəgun,geegun,*gəəgun,,*gəəgun,,gəəgun
`to clear a field (AV)',*kəməbəgurah,kumubugurah,*kəməbəgurah,kənəburah,*kəməbəgurah,təməbəgurah,kəməbəgurah
`to climb (AV)',*mədakil,mudakin,*mədakil,mədakil,*mədakil,mədakil,mədakil
`to climb (AV)',*məkaraw,mukaro,*məkaraw,məkaraw,*məkaraw,məkaraw,məkaraw
`to climb (PV)',*kədəkilun,kudukilun,*kədəkilun,kədəkilun,,,
`to close (AV)',*məduk,meluk,*məduk,məluk,*məduk,məduk,məduk
`to close (LV)',*dəban,leban,*dəban,ləban,*dəpan,dəpan,dəpan
`to close one's eyes (AV)',*məqəmi,muqemi,*məqəmi,məqəmi,*məqəmi,məqəmi,məqəmi
`to collect (AV)',*səməli,sumeli,*səməli,,*səməli,səməli,səməli
`to collect (PV)',*səliun,suliun,*səliun,səliun,*səliun,səliun,səliun
`to come (AV)',*məyah,meyah,*miyah,miyah,*miyah,miyah,miyah
`to cook; to boil (AV)',*həmaŋut,humaŋuc,*həmaŋut,həmaŋuc,*həmaŋut,həmaŋuc,həmaŋut
`to cook; to boil (AV)',*həpuray,hupure; pure,,,,,
`to cook; to boil (AV)',*məhapuy,,*məhapuy,məhapuy,*məhapuy,məhapuy,məhapuy
`to cook; to boil (PV)',*həŋədun,huŋedun,*həŋədun,həŋədun,*həŋədun,həŋədun,həŋədun
`to cook; to boil (PV)',*həpərayun,hupurayun,,,,,
`to cook; to boil (PV)',*həpuyun,,*həpuyun,,*həpuyun,həpuyun,həpuyun
`to count (AV)',*səməpug,sumepu,*səməpug,səməpu,*səməpug,səməpug,səməpug
`to count (PV)',*səpəgun,supegun,*səpəgun,səpuwi,*səpəgun,səpəgun,səpəgun
`to cry; to weep (AV)',*ləmiŋis,lumiŋis,*ləmiŋis,ləmiŋis,*ləmiŋis,ləmiŋis,ləmiŋis
`to cry; to weep (PV)',*ləŋisan,luŋisan,*ləŋisan,ləŋisan,*ləŋisan,ləŋisan,ləŋisan
`to cut; to chop (AV)',*səməqit,sumeqic,*səməqit,səməqic,*səməqit,səməqic,səməqit
`to cut; to chop (PV)',*səqitun,suqitun,*səqitun,səqitun,*səqitun,səqitun,səqitun
`to destroy; to waste (AV)',*səməəliq,sumeeliq,*səməəliq,səməliq,*səməəliq,səməəliq,səməəliq
`to destroy; to waste (LV)',*səliqan,suliqan,*səliqan,səliqan,*səliqan,səliqan,səliqan
`to die (AV)',*məhuqil,muhuqin,*məhuqil,məhuqil,*məhuqil,məhuqil,məhuqil
`to dig (AV)',*kəmari,kumari,*kəmari,kəmari,*kəmari,kəmari,kəmari
`to dig (PV)',*kəriun,kuriun,*kəriun,kəriun,*kəriun,kəriun,kəriun
"`to divide (things, AV)'",*masug,masu,*masug,masu,*masug,masug,masug
"`to divide (things, LF)'",*sugun,sugun,*sugun,pəsuwun,*sugun,sugun,səgun
`to draw; to tattoo; to write (AV)',*matas,matis,*matas,matas,*matas,matas,matas
`to draw; to tattoo; to write (PV)',*pətasun,putasun,*pətasun,pətasun,*pətasun,pətasun,pətasun
`to drink (AV)',*mimah,mimah,*mimah,mimah,*mimah,mimah,mimah
`to drink (PV)',*mahun,mahun,*mahun,mahun,*mahun,mahun,mahun
`to dry (AV)',*dəməŋu,dumeŋu,*dəməŋu,,*dəməŋu,,dəməŋu
`to dry in the air (AV)',*həmalig,humaluy,*həmalig,,*həmalig,,həmalig
`to dry in the air (LV)',*həligun,huligan,*həligun,,*həligun,,həligun
`to eat (AV)',*məkan,mekan,*məkan,məkan,*məkan,məkan,məkan
`to eat (PV)',*uqun,uqun; (puqun),*uqun,uqun,*uqun,uqun,uqun
`to extract fiber from plants (AV)',*qəmənuqih,munuqah,*qəmənuqih,qəmənuqah,*qəmənuqih,qəmənuqih,qəmənuqih
`to extract fiber from plants (LV)',*qənəqihan,qunuqihan,*qənəqihan,qənəqihan,*qənəqihan,qənəqihan,qənəqihan
`to fear; to be afraid (AV)',*məŋuŋu,muŋuŋu,*məŋuŋu,,*məŋuŋu,məŋuŋu,məŋuŋu
`to fear; to be afraid (AV)',*məicug,miicu,*məicug,micu,*misug,misug,miisug
`to fear; to be afraid (PV)',*kəcugun,kucugun,*kəcugun,kəcuwun,*kəsugun,,kəsugun
"`to feed; to rear; to raise (animals, AV)'",*təmabug,tumabu,*təmabug,təmabu,*təmabug,təmabug,təmabug
"`to feed; to rear; to raise (animals, PV)'",*təbugun,tubugun,*təbugun,təbuwi,*təbugi,təbugi,təbəgun
`to ferment; to pickle (AV)',*qəmamas,qumamas,*qəmamas,qəmamas,*qəmamas,,qəmamas
`to ferment; to pickle (PV)',*qəmasun,qumasun,*qəmasun,qəmasun,*qəmasun,qəmasun,qəmasun
`to finish; to end (AV)',*qəməhədu,qumehedu,*qəməhədu,məhədu,*qəməhədu,məhədu,qəməhədu
`to finish; to end (PV)',*qəhədəun,quhudeun; qudeun,*qəhəduun,qəduun,*qəhəduun,qədui,qəhəduun; qəduun
`to flow; to float (AV)',*qəluli,qululi,*qəluli,,*qəluli,qəluli,qəluli
`to flow; to float (PV)',*qələliun,qululiun,,,,,
`to forget (AV)',*cəməhuŋi,cumuhuŋi,*cəməhuŋi,cəməhuŋi,*səməhuŋi,səməhuŋi,səməhuŋi
`to forget (PV)',*cəhəŋiun,cuhuŋiun,*cəhəŋiun,cəhəŋiun,*səhəŋiun,səhəŋiun,səhəŋiun
`to gather (AV)',*ləmamu,lumamu,*ləmamu,ləmamu,*ləmamu,ləmamu,ləmamu
`to gather (PV)',*ləmuun,lumuun,*ləmuun,ləmuun,*ləmuun,ləmuun,ləmuun
`to give (AV)',*məgay,mege,*məgay,muway,*məgay,məgay,məgay
`to give (AV)',,,*muwiq,,*muwiq,,muwiq
`to give (LV)',*biqan,biqan,*biqan,biqan,*biqan,biqan,biqan
`to go (AV)',*məha,maha,*məha,maha,*məha,məha,məha
`to go (AV)',*musa,musa; (mosa),*musa,musa,*musa,musa,musa
`to go (LV)',*səsaan,susaan,*səsaan,,*səsaan,,səsaan
`to grab (AV)',*qəmərak,qumerac,*qəmərak,qəməraq,*qəmərak,qəməraq,qəmərak
`to grab (PV)',*qərapun,qurapun,*qərapun,qərapun,*qərapun,qərapun,qərapun
"`to grow (of children, plants, AV)'",*mədakil,mudakin,*mədakil,mədakil,*mədakil,mədakil,mədakil
"`to hang (clothes, etc., AV)'",*qəməya,qumeya,*qəmiya,məqiya,*pəqəya,pəqəya,pəqaya
"`to hang (clothes, etc., LV/PV)'",*qəyaan,quyaanun,*qəyaan,qəyanan,*qəyaan,pəqəyai,pəqəyaan
`to help (AV)',*dəmayaw,dumayo,*dəmayaw,dəmayaw,*dəmayaw,dəmayaw,dəmayaw
`to help (PV)',*dəyagun,duyagun,*dəyagun,dəwayun ,*ɟiyagun,,ɟiyagun
`to hide s.t. (AV)',*ləməiŋ,lumeiŋ,*ləmiiŋ,,*ləmiiŋ,ləmiiŋ,ləmiiŋ
`to hide s.t. (PV)',*ləiŋun,liiŋun,*ləiŋun,liŋan,*ləiŋun,,liiŋun
`to hunt by chasing (AV)',*maduk,maduk,*maduk,maduk,*maduk,maduk,maduk
`to hunt by chasing (PV)',*dupun,dupun,*dupun,,*dupun,dupun,dupun
`to know (AV)',*məkəla,mukela,*məkəla,məkəla,*məkəla,məkəla,məkəla
`to know (PV)',*kəlaun,kulaun,*kəlaun,kəlaun,*kəlaun,kəlaun,kəlaun
`to laugh (AV)',*məhulis,muhulis,*məhulis,məhulis,*məhulis,məhulis,məhulis
`to laugh (PV)',*pəhəlisun,puhulisun,*pəhəlisun,pəhəlisi,*pəhəlisun,,pəhəlisun
`to leave s.t. (AV)',*həmiti,humiti,*həmiti,həmiti,*həmici,həmici,həmici
`to leave s.t. (PV)',*hətiun,hutiun,*hətiun,,*həciun,həciun,həciun
`to listen (AV)',*qəməbahaŋ,qumubahaŋ; mubahaŋ,*qəməbahaŋ,məbahaŋ,*qəməbahaŋ,,əmbahaŋ
`to listen (PV)',*qəbəhaŋun,qubuhaŋun,*qəbəhaŋun,qəbəhaŋun,*qəbəhaŋun,qəbəhaŋun,bəhaŋan
`to look for something (AV)',*migiŋ,migin,*migiŋ,miŋ,*migiŋ,migin,miyiŋ
`to look for something (LV)',*giman,giman,*giman,wiman,*giman,,giman
`to look; to see (AV)',*qəmita,qumita,*qəmita,qəmita,*qəmita,qəmita,qəmita
`to look; to see (LV)',*qətaan,qutaan,*qətaan,qətaan,*qətaan,qətaan,qətaan
`to lose (AV)',*məgədaŋ,mugedaŋ,*mərədaŋ,mərədaŋ,*məridaŋ,məridaŋ,meydaŋ
`to lose (PV)',*pəgədaŋun,pugudaŋun,*pərədaŋun,,*pərədaŋun,,pərədaŋun
`to love (AV)',*səməkuxul,sumukuxun,*səməkuxul,səməkuxul,*səməkuxul,səməkuxul,səməkuxul
`to love (PV)',*səkəxəlun,sunukuxelan,*səkəxəlun,səkəxəlun,*səkəxəlun,,səkəxəlun
`to make rope (AV)',*səmuyuk,sumuyuk,*səmuyuk,səmuyuk,*səmuyuk,səmuyuk,səmuyuk
`to make rope (PV)',*səyukun,suyukun,*səyukun,,*səyukun,səyukun,səyukun
`to make; to build (AV)',*səməmalu,sumumalu,*səməmalu,səməmalu,*səməmalu,səməmalu,səməmalu
`to make; to build (LV)',*səmələan,sulumean,*səməlaan,,*səməlaan,,səməlaan
`to measure (AV)',*səməuŋ,sumeuŋ,*səmuuŋ,səmuŋ,*səməpuŋ,səməpuŋ,səməpuŋ
`to measure (PV)',*səəŋun,seeŋun,*səəŋun,səŋun,*səpəŋan (LV),,səpəŋan
`to migrate (AV)',*təhə\cvc,teheruy,*təhədil,təhədil,*təhəɟil,təhəɟil,təhəɟil
`to mix (AV)',*gəmimax,gumimax,*gəmimax,mərimax,*gəmimax,,gəmimax
`to mix (LV)',*gəmaxan,gumaxan,*gəmaxan,rəmaxan,*gəmaxun,gəmaxun,gəmaxan
`to open (AV)',*rəmawah,rumaguh,*rəmawah,rəmawah,*rəmawah,rəmawah,rəmawah
`to open (LV)',*rəwahan,ruwahan,*rəwahan,rəwahan,*rəwahan,rəwahan,rəwahan
`to pass; to overtake (AV)',*həmərinas,humurinas,*həmərinas,həmərinas,*həmərinas,həmərinas,həmərinas
`to pass; to overtake (PV)',*hərənasun,hurunasun,*hərənasun,hərənasun,*hərənasun,hərənasun,hərənasun
"`to patch (clothes, AV)'",*cəmapaŋ,cumapaŋ,*cəmapaŋ,cəmapaŋ,*səmapaŋ,səmapaŋ,səmapaŋ
"`to patch (clothes, PV)'",*cəpaŋun,cupaŋun,*cəpaŋun,cəpaŋun,*səpaŋun,səpaŋun,səpaŋan
`to pile stones (AV)',*məhagat,muharac,*məhagat,məhawac,*məhagat,məharac,həmagat `to pile; to line up'
`to pile stones (PV)',*həgadun,huradun,*həgadun,hənəwatan `pile of stones',*həgadun,həradun,həgadun `to pile; to line up'
`to plant (AV)',*məhuma,muhuma,*məhuma,məhuma,*məhuma,məhuma,məhuma
`to plant (PV)',*pəhəmaun,puhumaun,*pəhəmaun,,*pəhəmaun,,pəhəmaun
`to pluck (AV)',*kəmətuy,kumetuy,*kəmətuy,kəmətuy,*kəmətuy,kəmətuy,kəmətuy
`to pluck (PV)',*kətəyun,kuteyun,*kətiyun,,*kəciyun,,kəciyun
`to pour (AV)',*həmərig,humeruy,*həmərig,həməri,*həmərig,həmərig,həmərig
`to pour (PV)',*hərigun,hurigun,*hərigun,,*hərigun,,hərigun
`to praise (AV)',*təmədahu,tumudahu,*təmədahu,,*təmədahu,,təmədahu
`to pull out (AV)',*gəmabal,gumabin,*gəmabal,umabal,*gəmabal,gəmabal,gəmabal
`to pull out (PV)',*gəbalun,gubilun,*gəbalun,ubali,*gəbalun,,gəbalun
`to pull; to drag (AV)',*dəmulus,tumulus,*dəmulus,dəmulus,*dəmulus,,dəmulus
`to pull; to drag (PV)',*dəlusun,tulusun,*dəlusun,dəlusun,*dəlusun,,dəlusun
`to push (AV)',*cəmikul,cumikun,*cəmikul,cəmikul,*səmikul,səmikul,səmikul
`to push (PV)',*cəkulun,cukulun,*cəkulun,cəkulun,*səkulun,səkulun,
`to put (AV)',*pawsa,posa,*pawsa,powsa,*powsa,powsa,powsa
`to put (AV)',*pəha,paha,,,,,
`to put (AV)',,,*pusa,pusa,*pusa,pusa,
`to rain (AV)',*qəmuyux,qumuyux,*qəmuyux,qəmuyux,*qəmuyux,qəmuyux,qəmuyux
"`to raise (animals, children, AV)'",*dəmaŋa,dumaŋa,*dəmaŋa,dəmaŋa,*dəmaŋa,dəmaŋa,dəmaŋa
"`to raise (animals, children, PV)'",*dəŋaun,duŋaun,*dəŋaun,dəŋaun,*dəŋaun,,dəŋaun
`to remove the bark from ramie; to decorticate (AV)',*səməkəgig,sumukeguy,*səməkərig,səməkəri,*səməkərig,səməkərig,səməkərig
`to remove the bark from ramie; to decorticate (PV)',*səkəgigun,sukugigun,*səkəgigun,səkəriyun,*səkəgigun,səkəgigun,səkərigun
`to request (AV)',*maysa,mesa,*maysa,,*maysa,,meysa
`to request (AV)',*paysa,pesa,*paysa,,*paysa,,peysa
`to rest (AV)',*məsaŋay,musaŋe,*məsaŋay,məsaŋay,*məsaŋay,məsaŋay,məsaŋay
`to rest (LV)',*səŋayan,suŋayan,*səŋayan,səŋayan,*səŋayan,səŋayan,səŋayan
`to rise; to stand up; to wake up (AV)',*mətutuy,mututuy,*mətutuy,tutuy,*tutuy,tutuy,mətutuy
`to roast (AV)',*muduh,muduh,*muduh,muduh,*muduh,muduh,muduh
`to roast (PV)',*duhun,duhun,*duhun,duhun,*duhun,,duhun
`to rub; to wipe (AV)',*səmərus,sumerus,*səmərus,səmərus,*səmərus,səmərus,səmərus
`to rub; to wipe (PV)',*sərəsun,suresun,*sərəsun,sərəsun,*sərəsun,sərəsun,sərəsun
`to save (AV)',*səməku,sumeku,*səməku,səməku,*səməku,səməku,səməku
`to save (PV)',*səkuun,sukuun,*səkuun,səkuun,*səkuun,səkuun,səkuun
`to saw (AV)',*kəmərut,kumeruc,*kəmərut,kəməruc,*kəmərut,kəməruc,kəmərut
`to saw (PV)',*kərətun,kuretun,*kərətun,kərətun,*kərətun,kərətun,kərətun
`to say (AV)',*rəməŋaw,rumeŋo,*rəməŋaw,rəməŋaw,*rəməŋaw,rəməŋaw,rəməŋaw
`to say (PV)',*rəŋagun,ruŋagun,*rəŋagun,rəŋawan,*rəŋagun,rəŋagun,rəŋagun
`to say goodbye; to separate (AV)',*məsəwayay,musuwaye,*məsəwayay,məsəwayay,*səwayay,səwayay,məsəwayay
`to scald (AV)',*cəmuliŋ,cumuliŋ,*cəmuliŋ,cəmuliŋ,*səmuliŋ,səmuliŋ,
`to scald (PV)',*cəliŋun,culiŋun,*cəliŋun,cəliŋan,*səliŋun,səliŋun,
`to scold (AV)',*məsəaŋ,museaŋ,*məsaaŋ,məsaŋ,*məsaaŋ,məsaaŋ,məsaaŋ
`to scold (PV)',*kəsəəŋun,kuseeŋun,*kəsəəŋun,kənəsaŋan,*kəsəəŋun,,kəsəəŋun
`to scoop up (AV)',*dəmahug,dumahun,*cəmahug,cəmahu,*səmahug,səmahug,səmahug
"`to scoop up; to ladle (a liquid, PV)'",*dəhugun,duhurun,*cəhugun,cəhuwi,,,
`to sew (AV)',*səmais,sumais,*səmais,səmais,*səmais,,səmais
`to sew (PV)',*səisun,siisun,*səisun,,*səisun,,səisun
"`to sharpen (a knife, AV)'",*ləməpax,lumepax,*ləməpax,lipax,*ləməpax,ləməpax,ləməpax
"`to sharpen (a knife, PV)'",*ləpaxun,lupaxun,*ləpaxun,ləpaxun,*ləpaxun,ləpaxun,ləpaxun
`to shoot (AV)',*cəməbu,cumebu,*cəməbu,cəməbu,*səməbu,səməbu,səməbu
`to shoot (PV)',*cəbuun,cubuun,*cəbuun,cəbuun,*səbuun,,səbuun
`to sing (AV)',*məuyas,muuyas,*məuyas,muyas,*məuyas,məuyas,məuyas
`to singe off fur (AV)',*səmaruk,sumaruk,*səmaruk,səmaruk,*səmaruk,səmaruk,səmaruk
`to singe off fur (PV)',*sərukun,surukun,*sərukun,,*səruki,,səruki
`to sit (AV)',*tələuŋ,tulouŋ,*təluuŋ,təluŋ,*təluuŋ,təluuŋ,təluuŋ
`to sit (LV)',*tələəŋan,tuleeŋan,*tələəŋan,tələŋan,*tələəŋan,tələəŋan,tələəŋan
"`to skin; to peel (rind, bark, AV)'",*rəməhiq,rumehaq,*rəməhiq,rəməhiq,*rəməhiq,rəməhiq,rəməhiq
"`to skin; to peel (rind, bark, PV)'",*rəhiqun,rehequn,*rəhiqun,rəhiqun,*rəhiqun,rəhiqun,
`to sleep (AV)',*mətaqi,mutaqi,*mətaqi,mətaqi,*mətaqi,mətaqi,mətaqi
`to smell; to sniff (AV)',*səməkənux,sumukenux,*səməkənux,səməkənux,*səməkənux,,səməkənux
`to smell; to sniff (LV)',*səkənəxan,sukunexan,*səkənəxan,səkənəxan,*səkənəxan,səkənəxan,səkənəxan
`to stab; to prick (AV)',*maytaq,metaq,*maytaq,meytaq,*maytaq,mitaq,meytaq
`to stab; to prick (PV)',*bətaqun,butaqun,*bətaqun,bətaqun,*bətaqun,bətaqun,bətaqun
`to steal (AV)',*gəməəguy,gumeeguy,*gəməəguy,umowuy; mowuy,*gəməəguy,məəguy,gəməəguy
`to steal (PV)',*gəguyun,guguyun,*gəguyun,,*gəguyun,,guyun
`to stick',*səqapah,suqapah,*səqapah,səqapah,*səqapah,səqapah,səqapah
`to swallow (AV)',*rəməqun,rumequn,*rəməqun,rəməqun,*rəməqun,rəməqun,rəməqun
`to swallow (PV)',*rəqənun,ruqenun,*rəqənun,rəqənun,*rəqənun,rəqənun,rəqənun
`to swap; to change (AV)',*rəmiyux,rumiyux,*rəmiyux,rəmiyux,*rəmiyux,rəmiyux,rəmiyux
`to swap; to change (PV)',*rəyuxun,ruyuxun,*rəyuxun,rəyuxi,*rəyuxun,rəyuxi,rəyuxun
`to swim (AV)',*ləmaŋuy,ləmaŋuy,*ləmaŋuy,,*ləmaŋuy,,ləmaŋuy `to wash the body'
`to take (AV)',*maŋal,maŋan,*maŋal,maŋal,*maŋal,maŋal,maŋal
`to take (PV)',*ŋalun,ŋalun,*ŋalun,ŋalun,*ŋalun,ŋalun,ŋalun
`to take care of s.o. (AV)',*kəməlawa,kumulawa (`to incubate'),*kəməlawa,,*kəməlawa,,kəməlawa
`to take care of s.o. (AV)',*qəməlahaŋ,qumulahaŋ,*qəməlahaŋ,qəməlahaŋ,*qəməlahaŋ,qəməlahaŋ,qəməlahaŋ `to be careful'
`to take care of s.o. (LV)',*kələwaan,,*kələwaan,,*kələwaan,,kələwaan
`to take care of s.o. (PV)',*qələhaŋun,quluhaŋun,*qələhaŋun,qələhaŋun,*qələhaŋun,qələhaŋun,
`to take; to bring (AV.imp)',*adas,adis,*adas,adas,*adas,adas,adas
`to take; to bring (AV)',*madas,madis,*madas,madas,*madas,madas,madas
